t_h,C_central_ng_mL
0.0,0.0
0.12060301507537688,709.6327811884782
0.24120603015075376,1335.376381353959
0.36180904522613067,1885.9033468912717
0.4824120603015075,2369.008866682589
0.6030150753768844,2791.699192914064
0.7236180904522613,3160.2711553811996
0.8442211055276382,3480.383655444468
0.964824120603015,3757.121985533862
1.085427135678392,3995.055658677299
1.2060301507537687,4198.29039168445
1.3266331658291457,4370.514884635315
1.4472361809045227,4515.042882472667
1.5678391959798994,4634.85098901133
1.6884422110552764,4732.612676856671
1.809045226130653,4810.728872653111
1.92964824120603,4871.355461501437
2.050251256281407,4916.428020650577
2.170854271356784,4947.6840615195315
2.2914572864321605,4966.683031006959
2.4120603015075375,4974.8242977549135
2.5326633165829144,4973.3633263243455
2.6532663316582914,4963.426221710306
2.7738693467336684,4946.022808226685
2.8944723618090453,4922.058390691983
3.015075376884422,4892.344330291381
3.135678391959799,4857.607554587612
3.2562814070351758,4818.499109026162
3.3768844221105527,4775.601846465167
3.4974874371859297,4729.437341540599
3.618090452261306,4680.472107936025
3.738693467336683,4629.123188765121
3.85929648241206,4575.763183205345
3.979899497487437,4520.724766163431
4.100502512562814,4464.304752035637
4.221105527638191,4406.767748483791
4.341708542713568,4348.349441523994
4.4623115577889445,4289.259549066256
4.582914572864321,4229.684476303577
4.703517587939698,4169.789702985688
4.824120603015075,4109.721929588147
4.944723618090452,4049.611006667391
5.065326633165829,3989.571669246305
5.185929648241205,3929.705095874953
5.306532663316583,3870.1003100328658
5.427135678391959,3810.8354397601943
5.547738693467337,3751.978849804983
5.668341708542713,3693.5901591351076
5.788944723618091,3635.721155369334
5.909547738693467,3578.4166165183715
6.030150753768844,3521.715049380257
6.150753768844221,3465.6493529933273
6.271356783919598,3410.247414703669
6.391959798994975,3355.532645642817
6.5125628140703515,3301.524461727019
6.633165829145728,3248.2387156737964
6.7537688442211055,3195.688084977994
6.874371859296482,3143.8824202916717
6.994974874371859,3092.8290582044997
7.115577889447236,3042.533102018723
7.236180904522612,2992.9976737506668
7.35678391959799,2944.22414026518
7.477386934673366,2896.2123161565723
7.597989949748744,2848.960645726281
7.71859296482412,2802.466366170695
7.839195979899497,2756.725653879592
7.959798994974874,2711.733755554133
8.080402010050252,2667.485105681144
8.201005025125628,2623.9734317454872
8.321608040201005,2581.191848423098
8.442211055276381,2539.1329418719515
8.562814070351758,2497.7888451256213
8.683417085427136,2457.151305492756
8.804020100502512,2417.2117447747487
8.924623115577889,2377.961313031906
9.045226130653266,2339.3909365547916
9.165829145728642,2301.4913606311584
9.28643216080402,2264.253187639292
9.407035175879397,2227.666910945043
9.527638190954773,2191.722945031618
9.64824120603015,2156.411652247897
9.768844221105526,2121.7233665220792
9.889447236180905,2087.6484143524067
10.010050251256281,2054.1771333552497
10.130653266331658,2021.2998886224577
10.251256281407034,1989.0070871144492
10.37185929648241,1957.2891902925796
10.492462311557789,1926.1367251737302
10.613065326633166,1895.5402939715548
10.733668341708542,1865.490582472134
10.854271356783919,1835.9783672768478
10.974874371859295,1806.9945220317713
11.095477386934673,1778.530022750813
11.21608040201005,1750.5759523288948
11.336683417085426,1723.1235043312215
11.457286432160803,1696.1639861366848
11.577889447236181,1669.6888215067424
11.698492462311558,1643.6895526401588
11.819095477386934,1618.157841771277
11.93969849246231,1593.0854723619043
12.060301507537687,1568.4643499318402
12.180904522613066,1544.2865025684744
12.301507537688442,1520.5440811529718
12.422110552763819,1497.2293593372378
12.542713567839195,1474.334733298857
12.663316582914572,1451.8527212983947
12.78391959798995,1429.7759630667067
12.904522613065327,1408.0972190435762
13.025125628140703,1386.8093694853624
13.14572864321608,1365.9054134505884
13.266331658291456,1345.3784676954838
13.386934673366834,1325.221765486317
13.507537688442211,1305.4286553262953
13.628140703517587,1285.9925996208958
13.748743718592964,1266.9071733157064
13.86934673366834,1248.1660624560186
13.989949748743719,1229.763062715914
14.110552763819095,1211.6920779422715
14.231155778894472,1193.9471185982425
14.351758793969848,1176.522300253794
14.472361809045225,1159.4118420593327
14.592964824120603,1142.6100651294919
14.71356783919598,1126.1113910780484
14.834170854271356,1109.9103403581967
14.954773869346733,1094.001530792649
15.07537688442211,1078.3796759636084
15.195979899497488,1063.0395836822286
15.316582914572864,1047.9761544768862
15.43718592964824,1033.1843800034521
15.557788944723617,1018.6593416217275
15.678391959798994,1004.3962087833305
15.798994974874372,990.390237662045
15.919597989949748,976.6367695744211
16.040201005025125,963.1312296016952
16.160804020100503,949.8691251346785
16.281407035175878,936.8460443787773
16.402010050251256,924.0576551470458
16.52261306532663,911.4997031595361
16.64321608040201,899.1680110962423
16.763819095477388,887.0584767996836
16.884422110552762,875.167072330126
17.00502512562814,863.4898424852449
17.125628140703515,852.0229033803595
17.246231155778894,840.7624416320242
17.366834170854272,829.7047125211581
17.487437185929647,818.8460391791626
17.608040201005025,808.1828114218104
17.7286432160804,797.7114840650821
17.849246231155778,787.4285763883054
17.969849246231156,777.3306706958207
18.09045226130653,767.4144108750523
18.21105527638191,757.6765019543307
18.331658291457284,748.1137086322536
18.452261306532662,738.722853877487
18.57286432160804,729.5008185497048
18.693467336683415,720.4445401918183
18.814070351758794,711.5510113919222
18.93467336683417,702.8172793707688
19.055276381909547,694.240445404376
19.175879396984925,685.8176627976936
19.2964824120603,677.5461363250176
19.417085427135678,669.4231219310416
19.537688442211053,661.4459254172215
19.65829145728643,653.6119008805176
19.77889447236181,645.9184504127904
19.899497487437184,638.36302389784
20.020100502512562,630.9431173060716
20.140703517587937,623.6562714832551
20.261306532663315,616.5000718979193
20.381909547738694,609.4721485163501
20.50251256281407,602.5701743180948
20.623115577889447,595.7918638032221
20.74371859296482,589.1349728765013
20.8643216080402,582.5972984801542
20.984924623115578,576.1766783575213
21.105527638190953,569.8709886769832
21.22613065326633,563.6781437423873
21.346733668341706,557.5960957401944
21.467336683417084,551.6228346503275
21.587939698492463,545.7563875049716
21.708542713567837,539.9948162176446
21.829145728643216,534.3362174938986
21.94974874371859,528.7787226430615
22.07035175879397,523.3204972838515
22.190954773869347,517.9597414122023
22.31155778894472,512.6946867618302
22.4321608040201,507.5235965647308
22.552763819095475,502.44476555118047
22.673366834170853,497.4565193724452
22.79396984924623,492.55721527675587
22.914572864321606,487.7452404922526
23.035175879396984,483.01901055663666
23.155778894472363,478.3769693152655
23.276381909547737,473.8175889211523
23.396984924623116,469.3393693023769
23.51758793969849,464.94083879208415
23.63819095477387,460.62055243447355
23.758793969849247,456.37709064352174
23.87939698492462,452.20905920296013
24.0,448.11508926627414
24.0,448.11508926627414
24.12060301507538,1153.7266204185
24.241206030150753,1775.5203671704883
24.36180904522613,2322.167588275215
24.482412060301506,2801.4621860863504
24.603015075376884,3220.4091759891407
24.723618090452263,3585.3041630876282
24.844221105527637,3901.804846410575
24.964824120603016,4174.995331021472
