set,n_samples,nominal_ttp,mean_ttp,median_ttp,p5_ttp,worst_case_ttp,pct_below_nominal
ellipsoidal,200,840.0,929.0,868.0,0.0,0.0,47.0
wasserstein,200,840.0,783.0,28.0,0.0,0.0,56.5
